PERSONID,SURID,COMCOLI,SALARY
030000000000000001,3,0,40000
030000000000000002,3,0,26000
030000000000000003,3,1,45000
030000000000000004,3,0,9999998
030000000000000005,3,0,13000
030000000000000006,3,0,21000
030000000000000007,3,0,42000
030000000000000008,3,0,48000
030000000000000009,3,0,9999998
030000000000000100,3,0,40000
030000000000000101,3,1,12000
030000000000000102,3,0,9999999
030000000000000103,3,1,18000
030000000000000104,3,0,14000
030000000000000105,3,0,27000
030000000000000106,3,1,9999999
030000000000000107,3,0,9999999
030000000000000108,3,0,18000
030000000000000109,3,0,43000
030000000000000200,3,0,9999999
030000000000000201,3,1,36000
030000000000000202,3,1,37000
030000000000000203,3,0,50000
030000000000000204,3,1,43000
030000000000000205,3,1,40000
030000000000000206,3,1,32000
030000000000000207,3,0,9999999
030000000000000208,3,0,28000
030000000000000209,3,0,9999999
030000000000000300,3,0,9999999
030000000000000301,3,0,9999999
030000000000000302,3,1,34000
030000000000000303,3,0,12000
030000000000000304,3,0,30000
030000000000000305,3,1,35000
030000000000000306,3,0,21000
030000000000000307,3,0,24000
030000000000000308,3,0,42000
030000000000000309,3,0,9999999
030000000000000400,3,0,20000
030000000000000402,3,1,9999998
030000000000000403,3,0,43000
030000000000000404,3,0,9999998
030000000000000405,3,0,27000
030000000000000406,3,1,36000
030000000000000407,3,0,9999998
030000000000000408,3,0,9999999
030000000000000409,3,1,36000
030000000000000500,3,0,32000
030000000000000501,3,0,38000
030000000000000502,3,1,16000
030000000000000503,3,1,31000
030000000000000504,3,0,25000
030000000000000505,3,1,9999999
030000000000000506,3,1,100000
030000000000000507,3,1,26000
030000000000000508,3,0,9999998
030000000000000509,3,0,65000
030000000000000600,3,0,9999998
030000000000000601,3,1,30000
030000000000000602,3,1,51000
030000000000000603,3,0,55000
030000000000000604,3,1,9999999
030000000000000605,3,1,10000
030000000000000606,3,0,13000
030000000000000607,3,0,35000
030000000000000608,3,0,9999998
030000000000000609,3,0,14000
030000000000000700,3,0,9999998
030000000000000701,3,1,40000
030000000000000702,3,0,50000
030000000000000703,3,0,9999999
030000000000000704,3,0,9999999
030000000000000705,3,0,44000
030000000000000706,3,1,29000
030000000000000707,3,0,9999999
030000000000000708,3,1,9999999
030000000000000709,3,1,30000
030000000000000800,3,0,42000
030000000000000801,3,1,41000
030000000000000802,3,0,17000
030000000000000803,3,0,56000
030000000000000804,3,1,19000
030000000000000805,3,1,42000
030000000000000806,3,0,48000
030000000000000807,3,1,40000
030000000000000808,3,1,27000
030000000000000809,3,0,46000
030000000000000900,3,0,9999999
030000000000000901,3,0,28000
030000000000000902,3,0,25000
030000000000000903,3,0,9999999
030000000000000904,3,1,14000
030000000000000905,3,1,9999998
030000000000000906,3,0,26000
030000000000000907,3,0,25000
030000000000000908,3,0,9999998
030000000000000909,3,0,30000
030000000000010000,3,0,10000
030000000000010001,3,1,24000
030000000000010002,3,0,35000
030000000000010003,3,0,9999998
030000000000010004,3,1,10000
030000000000010005,3,1,54000
030000000000010006,3,0,15000
030000000000010007,3,0,23000
030000000000010008,3,0,19000
030000000000010009,3,1,37000
030000000000010100,3,0,8000
030000000000010101,3,0,9999998
030000000000010102,3,0,34000
030000000000010103,3,0,9999998
030000000000010104,3,0,30000
030000000000010105,3,1,40000
030000000000010106,3,0,12000
030000000000010107,3,1,9999999
030000000000010108,3,0,33000
030000000000010109,3,0,9999999
030000000000010200,3,1,28000
030000000000010201,3,1,26000
030000000000010202,3,0,33000
030000000000010203,3,0,9999998
030000000000010204,3,1,36000
030000000000010205,3,0,9999999
030000000000010206,3,0,45000
030000000000010207,3,0,36000
030000000000010208,3,0,42000
030000000000010209,3,1,39000
030000000000010300,3,0,9999999
030000000000010301,3,0,32000
030000000000010302,3,0,38000
030000000000010303,3,0,18000
030000000000010304,3,0,9999999
030000000000010305,3,0,33000
030000000000010306,3,1,9999998
030000000000010307,3,1,26000
030000000000010308,3,0,16000
030000000000010309,3,1,9999998
030000000000010400,3,1,46000
030000000000010401,3,0,38000
030000000000010402,3,0,45000
030000000000010403,3,0,9999998
030000000000010404,3,0,20000
030000000000010405,3,0,9999998
030000000000010406,3,1,43000
030000000000010407,3,1,9999999
030000000000010408,3,0,44000
030000000000010409,3,1,11000
030000000000010500,3,1,22000
030000000000010501,3,1,45000
030000000000010502,3,1,32000
030000000000010503,3,0,9999998
030000000000010504,3,0,9999998
030000000000010505,3,0,9999999
030000000000010506,3,0,16000
030000000000010507,3,0,9999998
030000000000010508,3,0,49000
030000000000010509,3,0,40000
030000000000010600,3,0,29000
030000000000010601,3,1,9999998
030000000000010602,3,1,40000
030000000000010603,3,1,9999998
030000000000010604,3,0,14000
030000000000010605,3,0,42000
030000000000010606,3,0,42000
030000000000010607,3,1,32000
030000000000010608,3,0,50000
030000000000010609,3,0,9999998
030000000000010700,3,0,41000
030000000000010701,3,1,38000
030000000000010702,3,0,46000
030000000000010703,3,0,44000
030000000000010704,3,0,22000
